Sample,Spheroid Profile
A01,Starburst
A02,Shedding
A03,Shedding
A04,Starburst
A05,Starburst
A06,Starburst
A07,Starburst
A08,Starburst
A09,Unfocussed
A10,Shedding
B01,Shedding
B02,Starburst
B03,Starburst
B04,Starburst
B05,Starburst
B06,Unfocussed
B07,Starburst
B08,Starburst
B09,Starburst
B10,Starburst
C01,Shedding
C02,Shedding
C03,Unfocussed
C04,Shedding
C05,Shedding
C06,Shedding
C07,Shedding
C08,Shedding
C09,Shedding
C10,Shedding
HV01,Intact
HV02,Shedding
HV03,Intact
HV04,Intact
HV05,Intact
HV06,Intact
HV07,Intact
HV08,Intact
HV09,Intact
HV10,Intact
