Wells,Time,N1,N2,N3
A1-3,0,0.0716,0.0708,0.0722
A1-3,0.5,0.0738,0.0726,0.074
A1-3,1,0.0757,0.0743,0.0759
A1-3,1.5,0.0775,0.076,0.0777
A1-3,2,0.0793,0.0778,0.0806
A1-3,2.5,0.0813,0.0794,0.085
A1-3,3,0.0829,0.0809,0.0873
A1-3,3.5,0.0848,0.0826,0.0876
A1-3,4,0.0865,0.085,0.0887
A1-3,4.5,0.0883,0.0858,0.0904
A1-3,5,0.0901,0.0874,0.0919
A4-6,0,0.0718,0.0721,0.0721
A4-6,0.5,0.0712,0.0714,0.0714
A4-6,1,0.0709,0.0709,0.0711
A4-6,1.5,0.0706,0.071,0.071
A4-6,2,0.0705,0.0709,0.0709
A4-6,2.5,0.0706,0.0709,0.0706
A4-6,3,0.0703,0.0706,0.0708
A4-6,3.5,0.0701,0.0705,0.0707
A4-6,4,0.0701,0.0705,0.0705
A4-6,4.5,0.0701,0.0704,0.0705
A4-6,5,0.07,0.0702,0.0704
A7-09,0,0.061,0.061,0.0631
A7-09,0.5,0.061,0.0609,0.0632
A7-09,1,0.061,0.0609,0.0633
A7-09,1.5,0.0611,0.0609,0.0632
A7-09,2,0.0611,0.0611,0.0632
A7-09,2.5,0.061,0.0609,0.0632
A7-09,3,0.061,0.0609,0.0633
A7-09,3.5,0.061,0.061,0.0633
A7-09,4,0.061,0.0609,0.0632
A7-09,4.5,0.0609,0.0609,0.0632
A7-09,5,0.061,0.0609,0.0633
A10-12,0,0.0611,0.06,0.0602
A10-12,0.5,0.061,0.0599,0.0602
A10-12,1,0.0611,0.06,0.0602
A10-12,1.5,0.061,0.06,0.0602
A10-12,2,0.0611,0.06,0.0601
A10-12,2.5,0.0611,0.0601,0.0602
A10-12,3,0.0611,0.06,0.0602
A10-12,3.5,0.0611,0.06,0.0602
A10-12,4,0.061,0.06,0.0601
A10-12,4.5,0.0611,0.06,0.0602
A10-12,5,0.0611,0.0601,0.0602
B1-3,0,0.3534,0.3434,0.3307
B1-3,0.5,0.4063,0.4033,0.4009
